[INFO] 2025-08-21 09:10:31,899 django.utils.autoreload:667 - Watching for file changes with StatReloader(method=- path=-)
[INFO] 2025-08-21 09:10:55,421 django.utils.autoreload:667 - Watching for file changes with StatReloader(method=- path=-)
[ERROR] 2025-08-21 09:11:02,856 django.db.backends:35 - SQL queries executed for GET /user-profile/:(method=- path=-)
[ERROR] 2025-08-21 09:11:02,856 django.db.backends:39 -   (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2025-08-21T09:11:02.781924+00:00'::timestamptz AND "django_session"."session_key" = 'otaxa5pruc96wdl5cxxmby798gy4t0mx') LIMIT 21(method=- path=-)
[WARNING] 2025-08-21 09:11:02,856 django.server:213 - "GET /user-profile/ HTTP/1.1" 401 46(method=- path=-)
[ERROR] 2025-08-21 09:11:02,870 django.db.backends:35 - SQL queries executed for GET /user-profile/:(method=- path=-)
[ERROR] 2025-08-21 09:11:02,870 django.db.backends:39 -   (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2025-08-21T09:11:02.782551+00:00'::timestamptz AND "django_session"."session_key" = 'otaxa5pruc96wdl5cxxmby798gy4t0mx') LIMIT 21(method=- path=-)
[WARNING] 2025-08-21 09:11:02,870 django.server:213 - "GET /user-profile/ HTTP/1.1" 401 46(method=- path=-)
[INFO] 2025-08-21 09:11:03,730 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 14(method=- path=-)
[INFO] 2025-08-21 09:11:03,753 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 14(method=- path=-)
[INFO] 2025-08-21 09:11:10,960 django.server:213 - "GET /csrf/ HTTP/1.1" 200 47(method=- path=-)
[INFO] 2025-08-21 09:11:10,961 django.server:213 - "GET /csrf/ HTTP/1.1" 200 47(method=- path=-)
[INFO] 2025-08-21 09:11:24,098 django.server:213 - "POST /login/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:11:24,217 django.server:213 - "GET /api/aircraft-type-details HTTP/1.1" 200 4335(method=- path=-)
[INFO] 2025-08-21 09:11:24,224 django.server:213 - "GET /api/aircraft-type-details HTTP/1.1" 200 4335(method=- path=-)
[INFO] 2025-08-21 09:11:24,479 django.server:213 - "GET /api/aircraft_masters/?include=aircraft_type HTTP/1.1" 200 285542(method=- path=-)
[INFO] 2025-08-21 09:11:24,849 django.server:213 - "GET /api/aircraft_masters/?include=aircraft_type HTTP/1.1" 200 285542(method=- path=-)
[INFO] 2025-08-21 09:11:30,838 django.server:213 - "GET /api/aircraft-details/202500008 HTTP/1.1" 200 11092(method=- path=-)
[INFO] 2025-08-21 09:11:38,464 django.server:213 - "POST /api/params/set/ HTTP/1.1" 200 95(method=- path=-)
[INFO] 2025-08-21 09:11:38,496 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:11:38,539 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:11:38,583 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:11:38,623 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:25,931 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:25,955 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:25,999 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:26,024 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:26,067 django.utils.autoreload:265 - /home/dev11/Videos/e700/backend/userprofile/views.py changed, reloading.(method=- path=-)
[INFO] 2025-08-21 09:12:26,388 django.utils.autoreload:667 - Watching for file changes with StatReloader(method=- path=-)
[INFO] 2025-08-21 09:12:29,569 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:29,579 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:29,640 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:29,687 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:29,719 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:29,789 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:29,840 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:29,877 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:29,957 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:30,036 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:31,278 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:31,309 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:31,319 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:31,383 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:31,417 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:31,508 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:31,520 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:31,697 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:31,786 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:31,871 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:33,326 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:33,349 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:33,365 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:12:33,403 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:12:33,441 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:33,486 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:33,565 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:12:33,634 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:33,719 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:33,794 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:12:53,708 django.server:213 - "GET /api/leadingParticularsOfAircraft/201710309 HTTP/1.1" 301 0(method=- path=-)
[INFO] 2025-08-21 09:12:53,807 django.server:213 - "GET /api/leadingParticularsOfAircraft/201710309/ HTTP/1.1" 200 2589(method=- path=-)
[INFO] 2025-08-21 09:13:06,564 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:13:06,660 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:13:12,037 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:13:12,053 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:13:12,061 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:13:12,071 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:13:12,176 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:13:12,272 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:13:12,277 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:13:12,369 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:01,700 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:14:01,709 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:14:01,720 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:14:01,738 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:14:01,872 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:14:01,952 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:02,022 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:14:02,068 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:03,723 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:14:03,754 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:14:03,761 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 09:14:03,764 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 09:14:03,856 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:03,908 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:14:03,958 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:04,006 django.server:213 - "GET /api/aircraft_masters/ HTTP/1.1" 200 214322(method=- path=-)
[INFO] 2025-08-21 09:14:07,717 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:07,756 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 09:14:07,800 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 09:14:07,835 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
